oid,timestamp,date,hour,x,y,vehicle_count,pedestrian_count,congestion_level,weather_condition,temperature,location,other_oid,other_class,other_x,other_y,body_roll,body_pitch,body_yaw,head_roll,head_pitch,head_yaw
oid_0,2023-01-01 00:00:00,2023-01-01,0,76.33000919362479,37.46917469259108,17,7,low,snowy,-7.048841845659613,Location_0,"['oid_284', 'oid_111', 'oid_354', 'oid_403', 'oid_330']","['vehicle', 'pedestrian', 'cyclist', 'cyclist', 'vehicle']","[80.16643167796968, 23.193568120739716, 99.29472339550956, 70.38543555496277, 46.17849927331137]","[10.968289671858821, 54.31625209147144, 12.196701070193406, 96.45663471246971, 97.92624172929935]",,,,,,
oid_1,2023-01-01 01:00:00,2023-01-01,1,6.867521779972108,42.0729268985226,3,14,low,sunny,25.75666427153206,Location_1,['oid_934'],['vehicle'],[18.255748305303598],[83.65003937685206],,,,,,
oid_2,2023-01-01 02:00:00,2023-01-01,2,3.0766322165195037,84.5750502978815,12,49,high,cloudy,33.56815941492936,Location_2,['oid_787'],['vehicle'],[77.73281545583741],[59.64309260346252],,,,,,
oid_3,2023-01-01 03:00:00,2023-01-01,3,35.47739309516962,56.48109390949063,4,23,medium,sunny,34.1540084720217,Location_3,"['oid_3', 'oid_295', 'oid_293', 'oid_17']","['vehicle', 'vehicle', 'pedestrian', 'pedestrian']","[42.84992200954636, 0.5787418544833112, 33.701128479535406, 99.1348629010806]","[20.071410763398468, 78.18601194561984, 99.10404572647168, 20.93664895293925]",,,,,,
oid_4,2023-01-01 04:00:00,2023-01-01,4,76.9497764567681,94.13378056185611,6,19,low,rainy,-1.2966530831741636,Location_4,['oid_979'],['cyclist'],[58.92263259975318],[12.460936540645529],,,,,,
oid_5,2023-01-01 05:00:00,2023-01-01,5,71.31057768805297,89.33396089912041,15,33,high,snowy,26.245580209213465,Location_5,"['oid_541', 'oid_367', 'oid_912']","['cyclist', 'cyclist', 'pedestrian']","[26.80521388141838, 42.38347771179725, 72.82362787655394]","[55.50172247282388, 73.11659830778898, 91.75158332881345]",,,,,,
oid_6,2023-01-01 06:00:00,2023-01-01,6,13.754010609625,48.24564597156792,11,9,low,sunny,26.38915621591223,Location_6,"['oid_592', 'oid_699', 'oid_783', 'oid_789', 'oid_992']","['vehicle', 'vehicle', 'pedestrian', 'pedestrian', 'pedestrian']","[22.5413353172063, 89.92316387700629, 87.03666245046138, 64.26041862969441, 2.3533602807974674]","[71.42968100176586, 9.94642134951219, 96.18504683694273, 33.69114094290605, 89.91250977957681]",,,,,,
oid_7,2023-01-01 07:00:00,2023-01-01,7,81.06166165479436,28.188148396823355,15,11,medium,snowy,-8.703227008562594,Location_7,['oid_354'],['vehicle'],[81.59701492703762],[86.72715536650595],,,,,,
oid_8,2023-01-01 08:00:00,2023-01-01,8,87.81603412093641,39.36298848804448,3,12,medium,sunny,23.729498931072186,Location_8,"['oid_872', 'oid_362', 'oid_486']","['vehicle', 'cyclist', 'cyclist']","[24.195898102204104, 25.39676053509188, 28.50281690192391]","[47.21731412233026, 37.96164717219131, 16.667377679711493]",,,,,,
oid_9,2023-01-01 09:00:00,2023-01-01,9,68.8063469182068,2.5513338109309003,2,9,high,rainy,29.737843436772664,Location_9,"['oid_191', 'oid_241', 'oid_708', 'oid_272']","['cyclist', 'pedestrian', 'vehicle', 'cyclist']","[36.71817656917603, 73.06433889448265, 23.87817166134054, 1.5944481002577393]","[4.668063990489724, 3.212343024031483, 24.134776727417652, 61.24252371997224]",,,,,,
oid_10,2023-01-01 10:00:00,2023-01-01,10,20.486955374303385,80.747108888161,16,0,medium,sunny,33.03415612911921,Location_10,"['oid_315', 'oid_626', 'oid_738', 'oid_423', 'oid_275']","['vehicle', 'cyclist', 'vehicle', 'cyclist', 'pedestrian']","[61.076714345800845, 37.57497953418384, 97.66197908357177, 97.1178421473471, 38.15536533114812]","[94.72627602031342, 73.59756422458828, 46.07723999068286, 80.65116420887928, 13.054067338479713]",,,,,,
oid_11,2023-01-01 11:00:00,2023-01-01,11,30.597189382104684,66.71686986766446,6,7,high,cloudy,2.8517008812914817,Location_11,['oid_541'],['pedestrian'],[24.339225276226216],[76.27320588007724],,,,,,
oid_12,2023-01-01 12:00:00,2023-01-01,12,29.511198328529055,80.21521740685208,9,49,medium,sunny,-7.794345043197495,Location_12,"['oid_387', 'oid_519', 'oid_781', 'oid_188', 'oid_407']","['cyclist', 'cyclist', 'cyclist', 'vehicle', 'vehicle']","[85.12286226577459, 43.49382596674746, 49.419543871159796, 48.56554584064456, 69.30334201220705]","[99.84895394988543, 43.96141794506532, 13.942330714595164, 65.78818398798907, 16.75839951803244]",,,,,,
oid_13,2023-01-01 13:00:00,2023-01-01,13,97.7079516208683,38.505945763008455,4,37,medium,rainy,32.769329701485184,Location_13,"['oid_655', 'oid_673', 'oid_357', 'oid_289', 'oid_632']","['pedestrian', 'pedestrian', 'cyclist', 'pedestrian', 'vehicle']","[74.95284535634562, 28.063849636375238, 80.18445854896147, 2.4308523409904303, 29.867293280435103]","[31.52924250189787, 4.082129676606261, 96.87731302171896, 59.46436467847504, 18.531117714691113]",,,,,,
oid_14,2023-01-01 14:00:00,2023-01-01,14,36.27975889947861,52.82242466944339,2,48,low,rainy,23.192543973482877,Location_14,"['oid_565', 'oid_762']","['vehicle', 'pedestrian']","[87.97129208054807, 69.51230814370479]","[77.83871375091542, 68.04345062854101]",,,,,,
oid_15,2023-01-01 15:00:00,2023-01-01,15,64.89354098738997,75.41255106932326,4,32,low,sunny,19.714138733417453,Location_15,"['oid_895', 'oid_618']","['vehicle', 'pedestrian']","[4.661283173872177, 37.719498486905835]","[57.41298030556815, 30.98915941258512]",,,,,,
oid_16,2023-01-01 16:00:00,2023-01-01,16,49.820832496827336,69.6038151161409,5,25,high,cloudy,18.423757982072207,Location_16,"['oid_945', 'oid_683']","['pedestrian', 'vehicle']","[90.60507469704953, 4.2660274558412485]","[88.72100221337263, 41.057447489486066]",,,,,,
oid_17,2023-01-01 17:00:00,2023-01-01,17,3.2760734271535252,8.208455954345473,18,15,high,snowy,1.3716629152438067,Location_17,['oid_113'],['pedestrian'],[99.78943403031644],[91.01878223969841],,,,,,
oid_18,2023-01-01 18:00:00,2023-01-01,18,32.824639860713155,26.244089965848772,11,9,medium,cloudy,34.27662818418246,Location_18,"['oid_105', 'oid_964', 'oid_226', 'oid_914', 'oid_189']","['vehicle', 'cyclist', 'cyclist', 'pedestrian', 'pedestrian']","[37.66032885955769, 95.48523917038223, 16.943175138433865, 26.26543869358724, 77.6661470641956]","[28.588554068755677, 12.259704399497561, 62.29217499048792, 38.51435933376168, 98.35272380580722]",,,,,,
oid_19,2023-01-01 19:00:00,2023-01-01,19,30.74769483484543,23.697753683288347,3,22,high,rainy,16.96674380872889,Location_19,"['oid_456', 'oid_207', 'oid_932', 'oid_872']","['vehicle', 'cyclist', 'pedestrian', 'vehicle']","[5.459802597655772, 56.51612323160487, 15.346777692356584, 21.119068858071266]","[38.08704073172409, 2.1734092533143623, 49.341948537356906, 67.88049891916422]",,,,,,
oid_20,2023-01-01 20:00:00,2023-01-01,20,46.69147146353395,11.749996986612521,12,16,low,cloudy,32.54518369679092,Location_20,"['oid_507', 'oid_404', 'oid_145']","['cyclist', 'pedestrian', 'pedestrian']","[14.15474386472152, 93.97239325151375, 55.17202814401985]","[5.936347603356918, 14.525099551269872, 62.91128470943591]",,,,,,
oid_21,2023-01-01 21:00:00,2023-01-01,21,69.90159006433628,68.75541221145889,10,10,high,cloudy,18.628483936402258,Location_21,"['oid_208', 'oid_630', 'oid_462']","['pedestrian', 'vehicle', 'vehicle']","[57.30116103281245, 56.59412960592518, 34.41979479681425]","[36.16990120438288, 7.285020019720612, 49.61657492023698]",,,,,,
oid_22,2023-01-01 22:00:00,2023-01-01,22,44.298165456355285,15.366501584666514,10,30,low,cloudy,9.437063998436908,Location_22,"['oid_121', 'oid_476', 'oid_48', 'oid_75', 'oid_692']","['cyclist', 'vehicle', 'cyclist', 'cyclist', 'cyclist']","[85.54068381366656, 38.08215492177178, 53.53213267720103, 53.181655827347385, 65.58618754423227]","[14.493755049141866, 79.71087512142635, 6.3938556634159145, 30.734656548388184, 59.02919689528533]",,,,,,
oid_23,2023-01-01 23:00:00,2023-01-01,23,94.30913342765204,23.8179321472221,9,22,high,rainy,-0.3951702814269744,Location_23,"['oid_587', 'oid_855', 'oid_351', 'oid_133']","['pedestrian', 'pedestrian', 'vehicle', 'vehicle']","[16.2914542960223, 67.21448963809887, 90.76177752035332, 97.91537679901755]","[43.71672656138594, 8.058920188339824, 82.65870327465062, 48.338649407420164]",,,,,,
